
============================================================
  CHUNK 1/309
  224 fichiers, 2.05 GB
  [67/224] updated_date=2018-08-22\part_0000.gz: 29 papers, 0 arXiv (2477 p/s)
  [68/224] updated_date=2018-08-31\part_0000.gz: 3 papers, 0 arXiv (439 p/s)
  [69/224] updated_date=2018-09-07\part_0000.gz: 2 papers, 0 arXiv (327 p/s)
  [70/224] updated_date=2018-09-27\part_0000.gz: 44 papers, 0 arXiv (2936 p/s)
  [71/224] updated_date=2018-10-05\part_0000.gz: 11 papers, 0 arXiv (1261 p/s)
  [72/224] updated_date=2018-10-12\part_0000.gz: 4 papers, 0 arXiv (506 p/s)
  [73/224] updated_date=2018-10-26\part_0000.gz: 2 papers, 0 arXiv (317 p/s)
  [74/224] updated_date=2018-11-02\part_0000.gz: 7 papers, 0 arXiv (932 p/s)
  [75/224] updated_date=2018-11-09\part_0000.gz: 4 papers, 0 arXiv (524 p/s)
  [76/224] updated_date=2018-11-16\part_0000.gz: 6 papers, 0 arXiv (800 p/s)
  [77/224] updated_date=2018-11-29\part_0000.gz: 1 papers, 0 arXiv (146 p/s)
  [78/224] updated_date=2018-12-11\part_0000.gz: 4 papers, 0 arXiv (519 p/s)
  [79/224] updated_date=2018-12-22\part_0000.gz: 5 papers, 0 arXiv (610 p/s)
  [80/224] updated_date=2019-01-01\part_0000.gz: 2 papers, 0 arXiv (266 p/s)
  [81/224] updated_date=2019-01-11\part_0000.gz: 1 papers, 0 arXiv (156 p/s)
  [82/224] updated_date=2019-01-25\part_0000.gz: 6 papers, 0 arXiv (784 p/s)
  [83/224] updated_date=2019-02-21\part_0000.gz: 13 papers, 0 arXiv (1419 p/s)
  [84/224] updated_date=2019-03-02\part_0000.gz: 11 papers, 0 arXiv (1409 p/s)
  [85/224] updated_date=2019-03-11\part_0000.gz: 2 papers, 0 arXiv (243 p/s)
  [86/224] updated_date=2019-03-22\part_0000.gz: 5 papers, 0 arXiv (513 p/s)
  [87/224] updated_date=2019-04-01\part_0000.gz: 3 papers, 0 arXiv (371 p/s)
  [88/224] updated_date=2019-04-11\part_0000.gz: 9 papers, 0 arXiv (965 p/s)
  [89/224] updated_date=2019-04-25\part_0000.gz: 12 papers, 0 arXiv (1209 p/s)
  [90/224] updated_date=2019-05-03\part_0000.gz: 4 papers, 0 arXiv (488 p/s)
  [91/224] updated_date=2019-05-09\part_0000.gz: 4 papers, 0 arXiv (304 p/s)
  [92/224] updated_date=2019-05-16\part_0000.gz: 1 papers, 0 arXiv (71 p/s)
  [93/224] updated_date=2019-05-29\part_0000.gz: 5 papers, 0 arXiv (537 p/s)
  [94/224] updated_date=2019-06-07\part_0000.gz: 4 papers, 0 arXiv (484 p/s)
  [95/224] updated_date=2019-06-14\part_0000.gz: 3 papers, 0 arXiv (318 p/s)
  [96/224] updated_date=2019-06-27\part_0000.gz: 10 papers, 0 arXiv (1195 p/s)
  [97/224] updated_date=2019-07-12\part_0000.gz: 6 papers, 0 arXiv (702 p/s)
  [98/224] updated_date=2019-07-23\part_0000.gz: 1 papers, 0 arXiv (161 p/s)
  [99/224] updated_date=2019-08-13\part_0000.gz: 1 papers, 0 arXiv (136 p/s)
  [100/224] updated_date=2019-08-22\part_0000.gz: 2 papers, 0 arXiv (265 p/s)
  [101/224] updated_date=2019-09-12\part_0000.gz: 1 papers, 0 arXiv (134 p/s)
  [102/224] updated_date=2019-10-10\part_0000.gz: 2 papers, 0 arXiv (247 p/s)
  [103/224] updated_date=2019-10-18\part_0000.gz: 2 papers, 0 arXiv (277 p/s)
  [104/224] updated_date=2019-10-25\part_0000.gz: 2 papers, 0 arXiv (299 p/s)
  [105/224] updated_date=2019-11-08\part_0000.gz: 3 papers, 0 arXiv (398 p/s)
  [106/224] updated_date=2019-11-22\part_0000.gz: 8 papers, 0 arXiv (1044 p/s)
  [107/224] updated_date=2019-12-05\part_0000.gz: 3 papers, 0 arXiv (424 p/s)
  [108/224] updated_date=2019-12-13\part_0000.gz: 8 papers, 0 arXiv (986 p/s)
  [109/224] updated_date=2020-01-10\part_0000.gz: 2 papers, 0 arXiv (310 p/s)
  [110/224] updated_date=2020-01-23\part_0000.gz: 2 papers, 0 arXiv (284 p/s)
  [111/224] updated_date=2020-01-30\part_0000.gz: 1 papers, 0 arXiv (141 p/s)
  [112/224] updated_date=2020-02-14\part_0000.gz: 2 papers, 0 arXiv (310 p/s)
  [113/224] updated_date=2020-02-24\part_0000.gz: 1 papers, 0 arXiv (154 p/s)
  [114/224] updated_date=2020-03-06\part_0000.gz: 1 papers, 0 arXiv (152 p/s)
  [115/224] updated_date=2020-03-23\part_0000.gz: 3 papers, 0 arXiv (403 p/s)
  [116/224] updated_date=2020-03-27\part_0000.gz: 3 papers, 0 arXiv (436 p/s)
  [117/224] updated_date=2020-04-03\part_0000.gz: 4 papers, 0 arXiv (193 p/s)
  [118/224] updated_date=2020-05-13\part_0000.gz: 2 papers, 0 arXiv (302 p/s)
  [119/224] updated_date=2020-05-21\part_0000.gz: 1 papers, 0 arXiv (39 p/s)
  [120/224] updated_date=2020-05-29\part_0000.gz: 3 papers, 0 arXiv (381 p/s)
  [121/224] updated_date=2020-06-05\part_0000.gz: 20 papers, 0 arXiv (839 p/s)
  [122/224] updated_date=2020-06-12\part_0000.gz: 1 papers, 0 arXiv (141 p/s)
  [123/224] updated_date=2020-06-19\part_0000.gz: 2 papers, 0 arXiv (105 p/s)
  [124/224] updated_date=2020-06-25\part_0000.gz: 1 papers, 0 arXiv (149 p/s)
  [125/224] updated_date=2020-07-16\part_0000.gz: 1 papers, 0 arXiv (161 p/s)
  [126/224] updated_date=2020-07-23\part_0000.gz: 1 papers, 0 arXiv (72 p/s)
  [127/224] updated_date=2020-07-29\part_0000.gz: 2 papers, 0 arXiv (175 p/s)
  [128/224] updated_date=2020-08-10\part_0000.gz: 1 papers, 0 arXiv (62 p/s)
  [129/224] updated_date=2020-08-21\part_0000.gz: 1 papers, 0 arXiv (82 p/s)
  [130/224] updated_date=2020-08-24\part_0000.gz: 1 papers, 0 arXiv (64 p/s)
  [131/224] updated_date=2020-09-01\part_0000.gz: 3 papers, 0 arXiv (153 p/s)
  [132/224] updated_date=2020-09-08\part_0000.gz: 2 papers, 0 arXiv (266 p/s)
  [133/224] updated_date=2020-09-14\part_0000.gz: 1 papers, 0 arXiv (52 p/s)
  [134/224] updated_date=2020-09-21\part_0000.gz: 1 papers, 0 arXiv (152 p/s)
  [135/224] updated_date=2020-09-25\part_0000.gz: 1 papers, 0 arXiv (78 p/s)
  [136/224] updated_date=2020-10-01\part_0000.gz: 1 papers, 0 arXiv (64 p/s)
  [137/224] updated_date=2020-10-08\part_0000.gz: 1 papers, 0 arXiv (88 p/s)
  [138/224] updated_date=2020-10-22\part_0000.gz: 3 papers, 0 arXiv (227 p/s)
  [139/224] updated_date=2020-10-29\part_0000.gz: 1 papers, 0 arXiv (66 p/s)
  [140/224] updated_date=2020-11-09\part_0000.gz: 1 papers, 0 arXiv (52 p/s)
  [141/224] updated_date=2020-11-23\part_0000.gz: 5 papers, 0 arXiv (317 p/s)
  [142/224] updated_date=2020-12-07\part_0000.gz: 1 papers, 0 arXiv (74 p/s)
  [143/224] updated_date=2020-12-21\part_0000.gz: 13 papers, 0 arXiv (704 p/s)
  [144/224] updated_date=2021-01-05\part_0000.gz: 3 papers, 0 arXiv (193 p/s)
  [145/224] updated_date=2021-01-18\part_0000.gz: 1 papers, 0 arXiv (171 p/s)
  [146/224] updated_date=2021-02-01\part_0000.gz: 3 papers, 0 arXiv (423 p/s)
  [147/224] updated_date=2021-02-15\part_0000.gz: 2 papers, 0 arXiv (267 p/s)
  [148/224] updated_date=2021-03-01\part_0000.gz: 7 papers, 0 arXiv (827 p/s)
  [149/224] updated_date=2021-03-15\part_0000.gz: 1 papers, 0 arXiv (89 p/s)
  [150/224] updated_date=2021-04-13\part_0000.gz: 11 papers, 0 arXiv (1106 p/s)
  [151/224] updated_date=2021-05-10\part_0000.gz: 2 papers, 0 arXiv (116 p/s)
  [152/224] updated_date=2021-05-24\part_0000.gz: 6 papers, 0 arXiv (825 p/s)
  [153/224] updated_date=2021-06-07\part_0000.gz: 4 papers, 0 arXiv (555 p/s)
