[01:21:38] ============================================================
[01:21:38] IMPACT SCANNER — Building impact tables
[01:21:38]   WT3:      D:\ygg\yggdrasil-engine\data\wt3.db (81.9 GB)
[01:21:38]   Spectral: spectral_births.json
[01:21:38]   Output:   D:\ygg\yggdrasil-engine\data\impact.db
[01:21:38] ============================================================
[01:21:38] Loading spectral positions from spectral_births.json...
[01:21:38]   Loaded 65,026 nodes (65,026 concepts, 1,316 glyphs)
[01:21:39] Total papers in WT3: 833,030 | Already done: 0 | Remaining: 833,030 | Cursor at rowid 0
[01:22:44]   Batch 61: 310,000/833,030 (37.2%) | 4734 papers/s | ETA 1.8min
[01:22:50]   Batch 62: 315,000/833,030 (37.8%) | 4409 papers/s | ETA 2.0min
[01:22:57]   Batch 63: 320,000/833,030 (38.4%) | 4114 papers/s | ETA 2.1min
[01:23:03]   Batch 64: 325,000/833,030 (39.0%) | 3859 papers/s | ETA 2.2min
[01:23:09]   Batch 65: 330,000/833,030 (39.6%) | 3648 papers/s | ETA 2.3min
[01:23:15]   Batch 66: 335,000/833,030 (40.2%) | 3468 papers/s | ETA 2.4min
[01:23:22]   Batch 67: 340,000/833,030 (40.8%) | 3307 papers/s | ETA 2.5min
[01:23:27]   Batch 68: 345,000/833,030 (41.4%) | 3176 papers/s | ETA 2.6min
[01:23:33]   Batch 69: 350,000/833,030 (42.0%) | 3068 papers/s | ETA 2.6min
[01:23:39]   Batch 70: 355,000/833,030 (42.6%) | 2949 papers/s | ETA 2.7min
[01:23:46]   Batch 71: 360,000/833,030 (43.2%) | 2837 papers/s | ETA 2.8min
[01:23:52]   Batch 72: 365,000/833,030 (43.8%) | 2736 papers/s | ETA 2.9min
[01:23:58]   Batch 73: 370,000/833,030 (44.4%) | 2659 papers/s | ETA 2.9min
[01:24:04]   Batch 74: 375,000/833,030 (45.0%) | 2581 papers/s | ETA 3.0min
[01:24:10]   Batch 75: 380,000/833,030 (45.6%) | 2507 papers/s | ETA 3.0min
[01:24:17]   Batch 76: 385,000/833,030 (46.2%) | 2439 papers/s | ETA 3.1min
[01:24:23]   Batch 77: 390,000/833,030 (46.8%) | 2380 papers/s | ETA 3.1min
[01:24:29]   Batch 78: 395,000/833,030 (47.4%) | 2327 papers/s | ETA 3.1min
[01:24:34]   Batch 79: 400,000/833,030 (48.0%) | 2280 papers/s | ETA 3.2min
[01:24:41]   Batch 80: 405,000/833,030 (48.6%) | 2226 papers/s | ETA 3.2min
[01:24:47]   Batch 81: 410,000/833,030 (49.2%) | 2177 papers/s | ETA 3.2min
[01:24:54]   Batch 82: 415,000/833,030 (49.8%) | 2131 papers/s | ETA 3.3min
[01:25:00]   Batch 83: 420,000/833,030 (50.4%) | 2090 papers/s | ETA 3.3min
